date,supplier_id,supplier_name,component_id,component_name,lead_time_days,order_quantity,on_time_delivery,supplier_tier,supplier_region
2023-01-19,SUP002,Global Plastics,COMP_B,Polymer X,22,1750,1,Tier2,Europe
2023-01-20,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4306,1,Tier1,Asia
2023-01-20,SUP002,Global Plastics,COMP_B,Polymer X,24,2981,1,Tier2,Europe
2023-01-21,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4175,1,Tier1,Asia
2023-01-21,SUP002,Global Plastics,COMP_B,Polymer X,22,3760,1,Tier2,Europe
2023-01-22,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4683,1,Tier1,Asia
2023-01-22,SUP002,Global Plastics,COMP_B,Polymer X,22,3606,1,Tier2,Europe
2023-01-23,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4336,1,Tier1,Asia
2023-01-23,SUP002,Global Plastics,COMP_B,Polymer X,24,2764,1,Tier2,Europe
2023-01-24,SUP001,Acme Materials,COMP_A,Steel Alloy,14,6384,1,Tier1,Asia
2023-01-24,SUP002,Global Plastics,COMP_B,Polymer X,22,3130,1,Tier2,Europe
2023-01-25,SUP001,Acme Materials,COMP_A,Steel Alloy,24,3197,0,Tier1,Asia
2023-01-25,SUP002,Global Plastics,COMP_B,Polymer X,22,4519,1,Tier2,Europe
2023-01-26,SUP001,Acme Materials,COMP_A,Steel Alloy,16,6579,1,Tier1,Asia
2023-01-26,SUP002,Global Plastics,COMP_B,Polymer X,27,988,0,Tier2,Europe
2023-01-27,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4540,1,Tier1,Asia
2023-01-27,SUP002,Global Plastics,COMP_B,Polymer X,22,4841,1,Tier2,Europe
2023-01-28,SUP001,Acme Materials,COMP_A,Steel Alloy,14,6461,1,Tier1,Asia
2023-01-28,SUP002,Global Plastics,COMP_B,Polymer X,22,3139,1,Tier2,Europe
2023-01-29,SUP001,Acme Materials,COMP_A,Steel Alloy,19,2414,0,Tier1,Asia
2023-01-29,SUP002,Global Plastics,COMP_B,Polymer X,22,5168,1,Tier2,Europe
2023-01-30,SUP001,Acme Materials,COMP_A,Steel Alloy,14,6441,1,Tier1,Asia
2023-01-30,SUP002,Global Plastics,COMP_B,Polymer X,32,5736,0,Tier2,Europe
2023-01-31,SUP001,Acme Materials,COMP_A,Steel Alloy,14,3577,1,Tier1,Asia
2023-01-31,SUP002,Global Plastics,COMP_B,Polymer X,22,2667,1,Tier2,Europe
2023-02-01,SUP001,Acme Materials,COMP_A,Steel Alloy,19,7081,0,Tier1,Asia
2023-02-01,SUP002,Global Plastics,COMP_B,Polymer X,22,1324,1,Tier2,Europe
2023-02-02,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4236,1,Tier1,Asia
2023-02-02,SUP002,Global Plastics,COMP_B,Polymer X,22,4148,1,Tier2,Europe
2023-02-03,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5476,1,Tier1,Asia
2023-02-03,SUP002,Global Plastics,COMP_B,Polymer X,24,2077,1,Tier2,Europe
2023-02-04,SUP001,Acme Materials,COMP_A,Steel Alloy,14,3687,1,Tier1,Asia
2023-02-04,SUP002,Global Plastics,COMP_B,Polymer X,24,4272,1,Tier2,Europe
2023-02-05,SUP001,Acme Materials,COMP_A,Steel Alloy,16,3998,1,Tier1,Asia
2023-02-05,SUP002,Global Plastics,COMP_B,Polymer X,27,2292,0,Tier2,Europe
2023-02-06,SUP001,Acme Materials,COMP_A,Steel Alloy,16,4724,1,Tier1,Asia
2023-02-06,SUP002,Global Plastics,COMP_B,Polymer X,22,4446,1,Tier2,Europe
2023-02-07,SUP001,Acme Materials,COMP_A,Steel Alloy,14,7658,1,Tier1,Asia
2023-02-07,SUP002,Global Plastics,COMP_B,Polymer X,27,2982,0,Tier2,Europe
2023-02-08,SUP001,Acme Materials,COMP_A,Steel Alloy,14,3852,1,Tier1,Asia
2023-02-08,SUP002,Global Plastics,COMP_B,Polymer X,22,202,1,Tier2,Europe
2023-02-09,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5266,1,Tier1,Asia
2023-02-09,SUP002,Global Plastics,COMP_B,Polymer X,22,3208,1,Tier2,Europe
2023-02-10,SUP001,Acme Materials,COMP_A,Steel Alloy,16,1902,1,Tier1,Asia
2023-02-10,SUP002,Global Plastics,COMP_B,Polymer X,22,2213,1,Tier2,Europe
2023-02-11,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5036,1,Tier1,Asia
2023-02-11,SUP002,Global Plastics,COMP_B,Polymer X,22,3123,1,Tier2,Europe
2023-02-12,SUP001,Acme Materials,COMP_A,Steel Alloy,16,5249,1,Tier1,Asia
2023-02-12,SUP002,Global Plastics,COMP_B,Polymer X,24,2049,1,Tier2,Europe
2023-02-13,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4142,1,Tier1,Asia
2023-02-13,SUP002,Global Plastics,COMP_B,Polymer X,24,2545,1,Tier2,Europe
2023-02-14,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5972,1,Tier1,Asia
2023-02-14,SUP002,Global Plastics,COMP_B,Polymer X,24,3976,1,Tier2,Europe
2023-02-15,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4631,1,Tier1,Asia
2023-02-15,SUP002,Global Plastics,COMP_B,Polymer X,22,3567,1,Tier2,Europe
2023-02-16,SUP001,Acme Materials,COMP_A,Steel Alloy,14,3250,1,Tier1,Asia
2023-02-16,SUP002,Global Plastics,COMP_B,Polymer X,22,2899,1,Tier2,Europe
2023-02-17,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4263,1,Tier1,Asia
2023-02-17,SUP002,Global Plastics,COMP_B,Polymer X,22,2682,1,Tier2,Europe
2023-02-18,SUP001,Acme Materials,COMP_A,Steel Alloy,16,5754,1,Tier1,Asia
2023-02-18,SUP002,Global Plastics,COMP_B,Polymer X,22,3336,1,Tier2,Europe
2023-02-19,SUP001,Acme Materials,COMP_A,Steel Alloy,19,4661,0,Tier1,Asia
2023-02-19,SUP002,Global Plastics,COMP_B,Polymer X,22,3684,1,Tier2,Europe
2023-02-20,SUP001,Acme Materials,COMP_A,Steel Alloy,19,3775,0,Tier1,Asia
2023-02-20,SUP002,Global Plastics,COMP_B,Polymer X,27,2920,0,Tier2,Europe
2023-02-21,SUP001,Acme Materials,COMP_A,Steel Alloy,14,6188,1,Tier1,Asia
2023-02-21,SUP002,Global Plastics,COMP_B,Polymer X,27,2199,0,Tier2,Europe
2023-02-22,SUP001,Acme Materials,COMP_A,Steel Alloy,19,5393,0,Tier1,Asia
2023-02-22,SUP002,Global Plastics,COMP_B,Polymer X,22,2997,1,Tier2,Europe
2023-02-23,SUP001,Acme Materials,COMP_A,Steel Alloy,16,5640,1,Tier1,Asia
2023-02-23,SUP002,Global Plastics,COMP_B,Polymer X,24,2799,1,Tier2,Europe
2023-02-24,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4318,1,Tier1,Asia
2023-02-24,SUP002,Global Plastics,COMP_B,Polymer X,22,4240,1,Tier2,Europe
2023-02-25,SUP001,Acme Materials,COMP_A,Steel Alloy,19,4470,0,Tier1,Asia
2023-02-25,SUP002,Global Plastics,COMP_B,Polymer X,22,3273,1,Tier2,Europe
2023-02-26,SUP001,Acme Materials,COMP_A,Steel Alloy,14,3690,1,Tier1,Asia
2023-02-26,SUP002,Global Plastics,COMP_B,Polymer X,22,2109,1,Tier2,Europe
2023-02-27,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4680,1,Tier1,Asia
2023-02-27,SUP002,Global Plastics,COMP_B,Polymer X,22,2768,1,Tier2,Europe
2023-02-28,SUP001,Acme Materials,COMP_A,Steel Alloy,24,6694,0,Tier1,Asia
2023-02-28,SUP002,Global Plastics,COMP_B,Polymer X,32,3706,0,Tier2,Europe
2023-03-01,SUP001,Acme Materials,COMP_A,Steel Alloy,14,7810,1,Tier1,Asia
2023-03-01,SUP002,Global Plastics,COMP_B,Polymer X,22,1620,1,Tier2,Europe
2023-03-02,SUP001,Acme Materials,COMP_A,Steel Alloy,16,6271,1,Tier1,Asia
2023-03-02,SUP002,Global Plastics,COMP_B,Polymer X,27,3460,0,Tier2,Europe
2023-03-03,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4410,1,Tier1,Asia
2023-03-03,SUP002,Global Plastics,COMP_B,Polymer X,22,2297,1,Tier2,Europe
2023-03-04,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5395,1,Tier1,Asia
2023-03-04,SUP002,Global Plastics,COMP_B,Polymer X,22,2849,1,Tier2,Europe
2023-03-05,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5283,1,Tier1,Asia
2023-03-05,SUP002,Global Plastics,COMP_B,Polymer X,22,4238,1,Tier2,Europe
2023-03-06,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5997,1,Tier1,Asia
2023-03-06,SUP002,Global Plastics,COMP_B,Polymer X,22,2054,1,Tier2,Europe
2023-03-07,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5532,1,Tier1,Asia
2023-03-07,SUP002,Global Plastics,COMP_B,Polymer X,22,2456,1,Tier2,Europe
2023-03-08,SUP001,Acme Materials,COMP_A,Steel Alloy,16,3488,1,Tier1,Asia
2023-03-08,SUP002,Global Plastics,COMP_B,Polymer X,22,4243,1,Tier2,Europe
2023-03-09,SUP001,Acme Materials,COMP_A,Steel Alloy,19,3354,0,Tier1,Asia
2023-03-09,SUP002,Global Plastics,COMP_B,Polymer X,22,4181,1,Tier2,Europe
2023-03-10,SUP001,Acme Materials,COMP_A,Steel Alloy,16,4237,1,Tier1,Asia
2023-03-10,SUP002,Global Plastics,COMP_B,Polymer X,24,3285,1,Tier2,Europe
2023-03-11,SUP001,Acme Materials,COMP_A,Steel Alloy,19,4024,0,Tier1,Asia
2023-03-11,SUP002,Global Plastics,COMP_B,Polymer X,24,2393,1,Tier2,Europe
2023-03-12,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4923,1,Tier1,Asia
2023-03-12,SUP002,Global Plastics,COMP_B,Polymer X,27,4381,0,Tier2,Europe
2023-03-13,SUP001,Acme Materials,COMP_A,Steel Alloy,16,4677,1,Tier1,Asia
2023-03-13,SUP002,Global Plastics,COMP_B,Polymer X,22,832,1,Tier2,Europe
2023-03-14,SUP001,Acme Materials,COMP_A,Steel Alloy,19,5495,0,Tier1,Asia
2023-03-14,SUP002,Global Plastics,COMP_B,Polymer X,22,3980,1,Tier2,Europe
2023-03-15,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4577,1,Tier1,Asia
2023-03-15,SUP002,Global Plastics,COMP_B,Polymer X,22,2422,1,Tier2,Europe
2023-03-16,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5066,1,Tier1,Asia
2023-03-16,SUP002,Global Plastics,COMP_B,Polymer X,27,5315,0,Tier2,Europe
2023-03-17,SUP001,Acme Materials,COMP_A,Steel Alloy,16,4438,1,Tier1,Asia
2023-03-17,SUP002,Global Plastics,COMP_B,Polymer X,27,4784,0,Tier2,Europe
2023-03-18,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5160,1,Tier1,Asia
2023-03-18,SUP002,Global Plastics,COMP_B,Polymer X,27,2981,0,Tier2,Europe
2023-03-19,SUP001,Acme Materials,COMP_A,Steel Alloy,14,2853,1,Tier1,Asia
2023-03-19,SUP002,Global Plastics,COMP_B,Polymer X,24,3849,1,Tier2,Europe
2023-03-20,SUP001,Acme Materials,COMP_A,Steel Alloy,16,3315,1,Tier1,Asia
2023-03-20,SUP002,Global Plastics,COMP_B,Polymer X,22,4127,1,Tier2,Europe
2023-03-21,SUP001,Acme Materials,COMP_A,Steel Alloy,19,4626,0,Tier1,Asia
2023-03-21,SUP002,Global Plastics,COMP_B,Polymer X,27,1491,0,Tier2,Europe
2023-03-22,SUP001,Acme Materials,COMP_A,Steel Alloy,14,7589,1,Tier1,Asia
2023-03-22,SUP002,Global Plastics,COMP_B,Polymer X,24,4815,1,Tier2,Europe
2023-03-23,SUP001,Acme Materials,COMP_A,Steel Alloy,19,6879,0,Tier1,Asia
2023-03-23,SUP002,Global Plastics,COMP_B,Polymer X,27,2415,0,Tier2,Europe
2023-03-24,SUP001,Acme Materials,COMP_A,Steel Alloy,19,7979,0,Tier1,Asia
2023-03-24,SUP002,Global Plastics,COMP_B,Polymer X,24,3050,1,Tier2,Europe
2023-03-25,SUP001,Acme Materials,COMP_A,Steel Alloy,19,3792,0,Tier1,Asia
2023-03-25,SUP002,Global Plastics,COMP_B,Polymer X,22,3024,1,Tier2,Europe
2023-03-26,SUP001,Acme Materials,COMP_A,Steel Alloy,16,6631,1,Tier1,Asia
2023-03-26,SUP002,Global Plastics,COMP_B,Polymer X,22,3796,1,Tier2,Europe
2023-03-27,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4940,1,Tier1,Asia
2023-03-27,SUP002,Global Plastics,COMP_B,Polymer X,22,1775,1,Tier2,Europe
2023-03-28,SUP001,Acme Materials,COMP_A,Steel Alloy,24,5360,0,Tier1,Asia
2023-03-28,SUP002,Global Plastics,COMP_B,Polymer X,22,1372,1,Tier2,Europe
2023-03-29,SUP001,Acme Materials,COMP_A,Steel Alloy,14,6053,1,Tier1,Asia
2023-03-29,SUP002,Global Plastics,COMP_B,Polymer X,22,1934,1,Tier2,Europe
2023-03-30,SUP001,Acme Materials,COMP_A,Steel Alloy,14,6819,1,Tier1,Asia
2023-03-30,SUP002,Global Plastics,COMP_B,Polymer X,24,1481,1,Tier2,Europe
2023-03-31,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4922,1,Tier1,Asia
2023-03-31,SUP002,Global Plastics,COMP_B,Polymer X,27,3131,0,Tier2,Europe
2023-04-01,SUP001,Acme Materials,COMP_A,Steel Alloy,14,2647,1,Tier1,Asia
2023-04-01,SUP002,Global Plastics,COMP_B,Polymer X,22,4699,1,Tier2,Europe
2023-04-02,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4595,1,Tier1,Asia
2023-04-02,SUP002,Global Plastics,COMP_B,Polymer X,22,4241,1,Tier2,Europe
2023-04-03,SUP001,Acme Materials,COMP_A,Steel Alloy,14,3795,1,Tier1,Asia
2023-04-03,SUP002,Global Plastics,COMP_B,Polymer X,22,2617,1,Tier2,Europe
2023-04-04,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4121,1,Tier1,Asia
2023-04-04,SUP002,Global Plastics,COMP_B,Polymer X,22,3595,1,Tier2,Europe
2023-04-05,SUP001,Acme Materials,COMP_A,Steel Alloy,16,8443,1,Tier1,Asia
2023-04-05,SUP002,Global Plastics,COMP_B,Polymer X,22,3848,1,Tier2,Europe
2023-04-06,SUP001,Acme Materials,COMP_A,Steel Alloy,14,6093,1,Tier1,Asia
2023-04-06,SUP002,Global Plastics,COMP_B,Polymer X,22,1329,1,Tier2,Europe
2023-04-07,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4974,1,Tier1,Asia
2023-04-07,SUP002,Global Plastics,COMP_B,Polymer X,27,3964,0,Tier2,Europe
2023-04-08,SUP001,Acme Materials,COMP_A,Steel Alloy,16,6221,1,Tier1,Asia
2023-04-08,SUP002,Global Plastics,COMP_B,Polymer X,22,2278,1,Tier2,Europe
2023-04-09,SUP001,Acme Materials,COMP_A,Steel Alloy,19,5607,0,Tier1,Asia
2023-04-09,SUP002,Global Plastics,COMP_B,Polymer X,27,3256,0,Tier2,Europe
2023-04-10,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5236,1,Tier1,Asia
2023-04-10,SUP002,Global Plastics,COMP_B,Polymer X,22,4341,1,Tier2,Europe
2023-04-11,SUP001,Acme Materials,COMP_A,Steel Alloy,19,5192,0,Tier1,Asia
2023-04-11,SUP002,Global Plastics,COMP_B,Polymer X,22,3818,1,Tier2,Europe
2023-04-12,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5191,1,Tier1,Asia
2023-04-12,SUP002,Global Plastics,COMP_B,Polymer X,24,4712,1,Tier2,Europe
2023-04-13,SUP001,Acme Materials,COMP_A,Steel Alloy,19,4773,0,Tier1,Asia
2023-04-13,SUP002,Global Plastics,COMP_B,Polymer X,22,3260,1,Tier2,Europe
2023-04-14,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5636,1,Tier1,Asia
2023-04-14,SUP002,Global Plastics,COMP_B,Polymer X,22,3133,1,Tier2,Europe
2023-04-15,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4852,1,Tier1,Asia
2023-04-15,SUP002,Global Plastics,COMP_B,Polymer X,32,2114,0,Tier2,Europe
2023-04-16,SUP001,Acme Materials,COMP_A,Steel Alloy,14,6733,1,Tier1,Asia
2023-04-16,SUP002,Global Plastics,COMP_B,Polymer X,24,4116,1,Tier2,Europe
2023-04-17,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5487,1,Tier1,Asia
2023-04-17,SUP002,Global Plastics,COMP_B,Polymer X,27,2141,0,Tier2,Europe
2023-04-18,SUP001,Acme Materials,COMP_A,Steel Alloy,19,4741,0,Tier1,Asia
2023-04-18,SUP002,Global Plastics,COMP_B,Polymer X,22,6094,1,Tier2,Europe
2023-04-19,SUP001,Acme Materials,COMP_A,Steel Alloy,14,6200,1,Tier1,Asia
2023-04-19,SUP002,Global Plastics,COMP_B,Polymer X,24,1941,1,Tier2,Europe
2023-04-20,SUP001,Acme Materials,COMP_A,Steel Alloy,16,5346,1,Tier1,Asia
2023-04-20,SUP002,Global Plastics,COMP_B,Polymer X,22,4995,1,Tier2,Europe
2023-04-21,SUP001,Acme Materials,COMP_A,Steel Alloy,24,4801,0,Tier1,Asia
2023-04-21,SUP002,Global Plastics,COMP_B,Polymer X,22,4128,1,Tier2,Europe
2023-04-22,SUP001,Acme Materials,COMP_A,Steel Alloy,14,6621,1,Tier1,Asia
2023-04-22,SUP002,Global Plastics,COMP_B,Polymer X,22,3967,1,Tier2,Europe
2023-04-23,SUP001,Acme Materials,COMP_A,Steel Alloy,14,6390,1,Tier1,Asia
2023-04-23,SUP002,Global Plastics,COMP_B,Polymer X,22,2006,1,Tier2,Europe
2023-04-24,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5806,1,Tier1,Asia
2023-04-24,SUP002,Global Plastics,COMP_B,Polymer X,22,4458,1,Tier2,Europe
2023-04-25,SUP001,Acme Materials,COMP_A,Steel Alloy,16,5398,1,Tier1,Asia
2023-04-25,SUP002,Global Plastics,COMP_B,Polymer X,27,3589,0,Tier2,Europe
2023-04-26,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4350,1,Tier1,Asia
2023-04-26,SUP002,Global Plastics,COMP_B,Polymer X,22,4394,1,Tier2,Europe
2023-04-27,SUP001,Acme Materials,COMP_A,Steel Alloy,14,3888,1,Tier1,Asia
2023-04-27,SUP002,Global Plastics,COMP_B,Polymer X,22,4122,1,Tier2,Europe
2023-04-28,SUP001,Acme Materials,COMP_A,Steel Alloy,16,5475,1,Tier1,Asia
2023-04-28,SUP002,Global Plastics,COMP_B,Polymer X,24,4949,1,Tier2,Europe
2023-04-29,SUP001,Acme Materials,COMP_A,Steel Alloy,19,4488,0,Tier1,Asia
2023-04-29,SUP002,Global Plastics,COMP_B,Polymer X,27,3699,0,Tier2,Europe
2023-04-30,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5996,1,Tier1,Asia
2023-04-30,SUP002,Global Plastics,COMP_B,Polymer X,24,3427,1,Tier2,Europe
2023-05-01,SUP001,Acme Materials,COMP_A,Steel Alloy,19,4655,0,Tier1,Asia
2023-05-01,SUP002,Global Plastics,COMP_B,Polymer X,24,921,1,Tier2,Europe
2023-05-02,SUP001,Acme Materials,COMP_A,Steel Alloy,24,4537,0,Tier1,Asia
2023-05-02,SUP002,Global Plastics,COMP_B,Polymer X,22,2898,1,Tier2,Europe
2023-05-03,SUP001,Acme Materials,COMP_A,Steel Alloy,14,2950,1,Tier1,Asia
2023-05-03,SUP002,Global Plastics,COMP_B,Polymer X,22,812,1,Tier2,Europe
2023-05-04,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5627,1,Tier1,Asia
2023-05-04,SUP002,Global Plastics,COMP_B,Polymer X,24,2625,1,Tier2,Europe
2023-05-05,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5069,1,Tier1,Asia
2023-05-05,SUP002,Global Plastics,COMP_B,Polymer X,24,4380,1,Tier2,Europe
2023-05-06,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5859,1,Tier1,Asia
2023-05-06,SUP002,Global Plastics,COMP_B,Polymer X,22,1452,1,Tier2,Europe
2023-05-07,SUP001,Acme Materials,COMP_A,Steel Alloy,14,2388,1,Tier1,Asia
2023-05-07,SUP002,Global Plastics,COMP_B,Polymer X,24,4171,1,Tier2,Europe
2023-05-08,SUP001,Acme Materials,COMP_A,Steel Alloy,14,3155,1,Tier1,Asia
2023-05-08,SUP002,Global Plastics,COMP_B,Polymer X,27,1736,0,Tier2,Europe
2023-05-09,SUP001,Acme Materials,COMP_A,Steel Alloy,14,3927,1,Tier1,Asia
2023-05-09,SUP002,Global Plastics,COMP_B,Polymer X,22,4895,1,Tier2,Europe
2023-05-10,SUP001,Acme Materials,COMP_A,Steel Alloy,16,5554,1,Tier1,Asia
2023-05-10,SUP002,Global Plastics,COMP_B,Polymer X,24,3865,1,Tier2,Europe
2023-05-11,SUP001,Acme Materials,COMP_A,Steel Alloy,14,2133,1,Tier1,Asia
2023-05-11,SUP002,Global Plastics,COMP_B,Polymer X,22,751,1,Tier2,Europe
2023-05-12,SUP001,Acme Materials,COMP_A,Steel Alloy,14,6175,1,Tier1,Asia
2023-05-12,SUP002,Global Plastics,COMP_B,Polymer X,22,1164,1,Tier2,Europe
2023-05-13,SUP001,Acme Materials,COMP_A,Steel Alloy,19,7275,0,Tier1,Asia
2023-05-13,SUP002,Global Plastics,COMP_B,Polymer X,22,2099,1,Tier2,Europe
2023-05-14,SUP001,Acme Materials,COMP_A,Steel Alloy,16,3910,1,Tier1,Asia
2023-05-14,SUP002,Global Plastics,COMP_B,Polymer X,22,1954,1,Tier2,Europe
2023-05-15,SUP001,Acme Materials,COMP_A,Steel Alloy,19,4890,0,Tier1,Asia
2023-05-15,SUP002,Global Plastics,COMP_B,Polymer X,22,5170,1,Tier2,Europe
2023-05-16,SUP001,Acme Materials,COMP_A,Steel Alloy,16,4386,1,Tier1,Asia
2023-05-16,SUP002,Global Plastics,COMP_B,Polymer X,27,3560,0,Tier2,Europe
2023-05-17,SUP001,Acme Materials,COMP_A,Steel Alloy,16,6036,1,Tier1,Asia
2023-05-17,SUP002,Global Plastics,COMP_B,Polymer X,24,4900,1,Tier2,Europe
2023-05-18,SUP001,Acme Materials,COMP_A,Steel Alloy,14,6141,1,Tier1,Asia
2023-05-18,SUP002,Global Plastics,COMP_B,Polymer X,32,3350,0,Tier2,Europe
2023-05-19,SUP001,Acme Materials,COMP_A,Steel Alloy,14,2872,1,Tier1,Asia
2023-05-19,SUP002,Global Plastics,COMP_B,Polymer X,22,2886,1,Tier2,Europe
2023-05-20,SUP001,Acme Materials,COMP_A,Steel Alloy,16,2721,1,Tier1,Asia
2023-05-20,SUP002,Global Plastics,COMP_B,Polymer X,27,1422,0,Tier2,Europe
2023-05-21,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4634,1,Tier1,Asia
2023-05-21,SUP002,Global Plastics,COMP_B,Polymer X,22,3403,1,Tier2,Europe
2023-05-22,SUP001,Acme Materials,COMP_A,Steel Alloy,14,4128,1,Tier1,Asia
2023-05-22,SUP002,Global Plastics,COMP_B,Polymer X,22,5319,1,Tier2,Europe
2023-05-23,SUP001,Acme Materials,COMP_A,Steel Alloy,14,5326,1,Tier1,Asia
2023-05-23,SUP002,Global Plastics,COMP_B,Polymer X,22,4352,1,Tier2,Europe
2023-05-24,SUP001,Acme Materials,COMP_A,Steel Alloy,14,2487,1,Tier1,Asia
2023-05-24,SUP002,Global Plastics,COMP_B,Polymer X,22,3560,1,Tier2,Europe
2023-05-25,SUP001,Acme Materials,COMP_A,Steel Alloy,14,7333,1,Tier1,Asia
